Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
11/13/11,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,37,26,17,56,
11/14/11,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,32,20,19,52,
11/15/11,40,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,20,9,8,40,
11/16/11,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,19,7,10,53,
11/17/11,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,29,7,31,55,
11/18/11,63,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,27,36,17,63,
11/19/11,67,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,34,37,13,67,
11/20/11,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,22,6,12,56,
11/21/11,71,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,1,4,21,71,
11/22/11,40,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,15,10,8,40,
11/23/11,67,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,19,4,25,67,
11/24/11,76,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,16,31,17,76,
11/25/11,69,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,29,27,14,69,
11/26/11,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,33,29,12,60,
11/27/11,38,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,24,10,5,38,
11/28/11,37,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,6,6,4,37,
11/29/11,38,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,19,24,4,38,
11/30/11,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,23,9,10,53,
12/1/11,81,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,20,14,61,21,81,
12/2/11,97,SO2,Watson Lane,21-111-0051,AQS,19,9,97,26,84,
12/3/11,78,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,32,17,16,78,
12/4/11,67,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,32,27,12,67,
12/5/11,44,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,9,4,5,44,
12/6/11,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,11,7,.,54,
12/7/11,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,23,4,9,55,
12/8/11,72,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,18,13,40,17,72,
12/9/11,73,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,19,19,19,19,73,
12/10/11,64,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,14,25,34,11,64,
12/11/11,74,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,18,26,7,46,74,
12/12/11,98,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,22,12,76,34,98,
12/13/11,96,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,23,6,26,33,96,
12/14/11,72,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,13,25,44,13,72,
12/15/11,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,25,21,10,57,
12/16/11,51,PM2.5,CANNONS LANE,21-111-0067,AQS,13,16,16,10,51,
12/17/11,69,SO2,Watson Lane,21-111-0051,AQS,14,11,69,18,53,
12/18/11,58,PM2.5,CANNONS LANE,21-111-0067,AQS,14,18,23,13,58,
12/19/11,84,SO2,Watson Lane,21-111-0051,AQS,17,2,84,16,48,
12/20/11,66,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,17,20,10,25,66,
12/21/11,54,SO2,Watson Lane,21-111-0051,AQS,14,19,54,9,37,
12/22/11,53,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,15,5,10,11,53,
12/23/11,48,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,15,12,6,17,48,
12/24/11,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,16,23,12,52,
12/25/11,54,SO2,Watson Lane,21-111-0051,AQS,17,25,54,7,44,
12/26/11,29,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,21,9,7,29,
12/27/11,35,PM2.5,CANNONS LANE,21-111-0067,AQS,15,15,6,8,35,
12/28/11,36,PM2.5,CANNONS LANE,21-111-0067,AQS,.,12,16,9,36,
12/29/11,46,SO2,Watson Lane,21-111-0051,AQS,8,22,46,13,38,
